circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,_resource_id,_source_resource_id
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nellutla B.O,506175,BO,Non Delivery,JANGOAN,TELANGANA,17.7890000,79.1672000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddapahad B.O,506175,BO,Delivery,JANGOAN,TELANGANA,17.7320000,79.1780000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Rebarthy B.O,506367,BO,Delivery,SIDDIPET,TELANGANA,17.2230000,79.1200000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dhulmitta B.O,506367,BO,Delivery,SIDDIPET,TELANGANA,17.0892000,79.0991000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Posanpalli B.O,506355,BO,Delivery,SIDDIPET,TELANGANA,16.9960000,78.9230000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tadur Bo B.O,506355,BO,Delivery,SIDDIPET,TELANGANA,16.9810000,78.9620000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pasaramadla B.O,506201,BO,Delivery,JANGOAN,TELANGANA,16.4420000,78.8540000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nidigonda B.O,506244,BO,Delivery,JANGOAN,TELANGANA,15.4025000,76.5960000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Iravennur B.O,506244,BO,Delivery,JANGOAN,TELANGANA,15.9630000,79.3210000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mangal Banda Thanda B.O,506244,BO,Delivery,JANGOAN,TELANGANA,14.3550000,78.3970000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Wanaparthy B.O,506303,BO,Delivery,JANGOAN,TELANGANA,16.3287414,70.8964000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,506342,BO,Delivery,WARANGAL,TELANGANA,18.067409999999999,79.672430000000006,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Nagaram B.O,505301,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.4472390,78.7688730,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kasimpalli B.O,506169,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,79.0000000,17.0000000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Laxmareddipalli B.O,506168,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,35.8968000,61.2536900,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garimillapalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698000,58.6359000,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kundanpalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2549000,79.8968700,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Nawabpet B.O,505467,BO,Delivery,KARIMNAGAR,TELANGANA,18.1807040,79.1697810,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nawabpet B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3434466,79.6554116,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pangidipalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.4059149,79.6351512,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sarvai B.O,506165,BO,Delivery,Mulugu,TELANGANA,18.49165,80.330640000000002,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Thimmapur B.O,506345,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3295766,79.9764416,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bhagirathipet B.O,506345,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2777497,79.7914119,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Machapur B.O,506344,BO,Delivery,Mulugu,TELANGANA,18.2115978,80.0623935,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Potlapur B.O,506352,BO,Delivery,Mulugu,TELANGANA,18.110620000000001,79.991910000000004,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Balannagudem B.O,506172,BO,Delivery,Mulugu,TELANGANA,18.198540000000001,80.524280000000005,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
