name,state,district,source,latitude,longitude,geocode_quality
Sendhwa(F&V) APMC,Madhya Pradesh,Badwani,derived_from_market_records,32.84671,74.59616,PPL
Karimangalam(Uzhavar Sandhai),Tamil Nadu,Dharmapuri,derived_from_market_records,12.1277,78.15794,PPL
Mecheri(Uzhavar Sandhai),Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Pallikonda(Uzhavar Sandhai),Tamil Nadu,Vellore,derived_from_market_records,12.9184,79.13255,PPL
Perampet(Uzhavar Sandhai),Tamil Nadu,Vellore,derived_from_market_records,12.9184,79.13255,PPL
Ponnamaravathi(Uzhavar Sandhai),Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Gandhigramam(Uzhavar Sandhai),Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
"Flower Market,Gazipur APMC",NCT of Delhi,Delhi,derived_from_market_records,28.65195,77.23149,PPLA
Khair APMC,Uttar Pradesh,Aligarh,derived_from_market_records,27.88145,78.07464,PPL
Payagpur APMC,Uttar Pradesh,Shravasti,derived_from_market_records,27.50198,82.02675,AIRP
Tulsipur APMC,Uttar Pradesh,Balrampur,derived_from_market_records,23.61219,83.61115,PPLA2
Kulai APMC,Tripura,Dhalai,derived_from_market_records,24.60117,92.84785,PPL
Wokha Town APMC,Nagaland,Wokha,derived_from_market_records,26.09717,94.25817,PPL
Durgapur APMC,West Bengal,Paschim Bardhaman,derived_from_market_records,,,
Darjeeling APMC,West Bengal,Darjeeling,derived_from_market_records,27.03333,88.26667,PPL
Sulur(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Gandarvakottai(Uzhavar Sandhai ) APMC,Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Mayiladuthurai(Uzhavar Sandhai ) APMC,Tamil Nadu,Nagapattinam,derived_from_market_records,10.76377,79.84313,PPL
Paramathivelur(Uzhavar Sandhai ) APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Thammampatti (Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Tiruvarur(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvarur,derived_from_market_records,10.77269,79.6368,PPL
Udumalpet APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Ulundurpettai APMC,Tamil Nadu,Villupuram,derived_from_market_records,11.93975,79.49244,PPL
Sailana APMC,Madhya Pradesh,Ratlam,derived_from_market_records,23.33033,75.04032,PPL
Devgadhbaria APMC,Gujarat,Dahod,derived_from_market_records,22.83283,74.25986,PPL
Mansa(Manas Veg Yard) APMC,Gujarat,Gandhinagar,derived_from_market_records,23.21667,72.68333,PPLA
Mahuva(Anaval) APMC,Gujarat,Surat,derived_from_market_records,21.19594,72.83023,PPL
PMY Bilaspur,Himachal Pradesh,Bilaspur,derived_from_market_records,22.08005,82.15543,PPL
Bhesan APMC,Gujarat,Junagarh,derived_from_market_records,19.85993,82.93385,PPL
Surat APMC,Gujarat,Surat,derived_from_market_records,21.19594,72.83023,PPL
Hodal APMC,Haryana,Palwal,derived_from_market_records,28.14469,77.32546,PPL
PMY Paonta Sahib,Himachal Pradesh,Sirmore,derived_from_market_records,,,
Kannur APMC,Kerala,Kannur,derived_from_market_records,11.86752,75.35763,PPL
Payyannur APMC,Kerala,Kannur,derived_from_market_records,11.86752,75.35763,PPL
Khanna APMC,Punjab,Ludhiana,derived_from_market_records,30.91204,75.85379,PPL
Baghapurana APMC,Punjab,Moga,derived_from_market_records,30.81383,75.16878,PPL
Patiala APMC,Punjab,Patiala,derived_from_market_records,30.33625,76.3922,PPL
Nawalgarh APMC,Rajasthan,Jhunjhunu,derived_from_market_records,28.12559,75.39797,PPL
Tamluk (Medinipur E) APMC,West Bengal,Medinipur(E),derived_from_market_records,,,
Rewari APMC,Haryana,Rewari,derived_from_market_records,28.199,76.6183,PPL
PMY Kather Solan,Himachal Pradesh,Solan,derived_from_market_records,30.90908,77.10869,PPL
Mukerian APMC,Punjab,Hoshiarpur,derived_from_market_records,31.53723,75.91269,PPLA2
Cheyyar(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvannamalai,derived_from_market_records,,,
Bhiwani APMC,Haryana,Bhiwani,derived_from_market_records,28.79304,76.13968,PPL
Papanasam(Uzhavar Sandhai ) APMC,Tamil Nadu,Thanjavur,derived_from_market_records,10.78523,79.13909,PPL
