name,state,district,source
Atarra,Uttar Pradesh,Banda,data.gov.in_daily_prices
Jhansi,Uttar Pradesh,Jhansi,data.gov.in_daily_prices
Lucknow,Uttar Pradesh,Lucknow,data.gov.in_daily_prices
Gopalpatti,Tamil Nadu,Dindigul,data.gov.in_daily_prices
Natham,Tamil Nadu,Dindigul,data.gov.in_daily_prices
Denkanikottai,Tamil Nadu,Krishnagiri,data.gov.in_daily_prices
Krishnagiri,Tamil Nadu,Krishnagiri,data.gov.in_daily_prices
Bowenpally,Telangana,Hyderabad,data.gov.in_daily_prices
Hyderabad (F&V),Telangana,Hyderabad,data.gov.in_daily_prices
Chevella,Telangana,Ranga Reddy,data.gov.in_daily_prices
Cachar,Assam,Cachar,data.gov.in_daily_prices
P.O. Uparhali Guwahati,Assam,Kamrup,data.gov.in_daily_prices
Tinsukia,Assam,Tinsukia,data.gov.in_daily_prices
Dhanbad,Jharkhand,Dhanbad,data.gov.in_daily_prices
Aralamoodu,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Khair,Uttar Pradesh,Aligarh,data.gov.in_daily_prices
Denduluru,Andhra Pradesh,West Godavari,data.gov.in_daily_prices
Bohorihat,Assam,Barpeta,data.gov.in_daily_prices
Howly,Assam,Barpeta,data.gov.in_daily_prices
Gauripur,Assam,Dhubri,data.gov.in_daily_prices
Dibrugarh,Assam,Dibrugarh,data.gov.in_daily_prices
Goalpara,Assam,Goalpara,data.gov.in_daily_prices
Golaghat,Assam,Golaghat,data.gov.in_daily_prices
Jorhat,Assam,Jorhat,data.gov.in_daily_prices
Nalbari,Assam,Nalbari,data.gov.in_daily_prices
Giridih,Jharkhand,Giridih,data.gov.in_daily_prices
Koderma,Jharkhand,Koderma,data.gov.in_daily_prices
Latehar,Jharkhand,Latehar,data.gov.in_daily_prices
Khunti,Jharkhand,Ranchi,data.gov.in_daily_prices
Cherthala,Kerala,Alappuzha,data.gov.in_daily_prices
Harippad,Kerala,Alappuzha,data.gov.in_daily_prices
Moovattupuzha,Kerala,Ernakulam,data.gov.in_daily_prices
Kannur,Kerala,Kannur,data.gov.in_daily_prices
Thalasserry,Kerala,Kannur,data.gov.in_daily_prices
Kanjangadu,Kerala,Kasargod,data.gov.in_daily_prices
Kasargod,Kerala,Kasargod,data.gov.in_daily_prices
Neeleswaram,Kerala,Kasargod,data.gov.in_daily_prices
Ettumanoor,Kerala,Kottayam,data.gov.in_daily_prices
Kottayam,Kerala,Kottayam,data.gov.in_daily_prices
Kottakkal,Kerala,Malappuram,data.gov.in_daily_prices
Manjeri,Kerala,Malappuram,data.gov.in_daily_prices
Ezhamkulam,Kerala,Pathanamthitta,data.gov.in_daily_prices
Allagadda,Andhra Pradesh,Kurnool,data.gov.in_daily_prices
Anantapur,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Dharmavaram,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Gooti,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Guntakal,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Kadiri,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Kalyandurg,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Penukonda,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Tadipatri,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Tenakallu,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Urvakonda,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Srikalahasti,Andhra Pradesh,Chittor,data.gov.in_daily_prices
Rayachoti,Andhra Pradesh,Cuddapah,data.gov.in_daily_prices
Nagari,Chattisgarh,Dhamtari,data.gov.in_daily_prices
Manendragarh,Chattisgarh,Koria,data.gov.in_daily_prices
Amreli,Gujarat,Amreli,data.gov.in_daily_prices
Rajula,Gujarat,Amreli,data.gov.in_daily_prices
Savarkundla,Gujarat,Amreli,data.gov.in_daily_prices
Jamnagar,Gujarat,Jamnagar,data.gov.in_daily_prices
Mangrol,Gujarat,Junagarh,data.gov.in_daily_prices
Visavadar,Gujarat,Junagarh,data.gov.in_daily_prices
Dhoraji,Gujarat,Rajkot,data.gov.in_daily_prices
Gondal,Gujarat,Rajkot,data.gov.in_daily_prices
Hindupur,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Phaltan,Maharashtra,Satara,data.gov.in_daily_prices
Vaduj,Maharashtra,Satara,data.gov.in_daily_prices
Akluj,Maharashtra,Sholapur,data.gov.in_daily_prices
Barshi,Maharashtra,Sholapur,data.gov.in_daily_prices
Karmala,Maharashtra,Sholapur,data.gov.in_daily_prices
Kurdwadi,Maharashtra,Sholapur,data.gov.in_daily_prices
Kurdwadi(Modnimb),Maharashtra,Sholapur,data.gov.in_daily_prices
Mangal Wedha,Maharashtra,Sholapur,data.gov.in_daily_prices
Pandharpur,Maharashtra,Sholapur,data.gov.in_daily_prices
Sangola,Maharashtra,Sholapur,data.gov.in_daily_prices
Solapur,Maharashtra,Sholapur,data.gov.in_daily_prices
Kalyan,Maharashtra,Thane,data.gov.in_daily_prices
Ulhasnagar,Maharashtra,Thane,data.gov.in_daily_prices
Karanja,Maharashtra,Vashim,data.gov.in_daily_prices
Manora,Maharashtra,Vashim,data.gov.in_daily_prices
Pusad,Maharashtra,Yavatmal,data.gov.in_daily_prices
Najafgarh,NCT of Delhi,Delhi,data.gov.in_daily_prices
Parlakhemundi,Odisha,Gajapati,data.gov.in_daily_prices
Ajmer (Grain),Rajasthan,Ajmer,data.gov.in_daily_prices
Beawar,Rajasthan,Ajmer,data.gov.in_daily_prices
Gulabpura,Rajasthan,Ajmer,data.gov.in_daily_prices
Kekri,Rajasthan,Ajmer,data.gov.in_daily_prices
Madanganj Kishangarh,Rajasthan,Ajmer,data.gov.in_daily_prices
Vijaynagar,Rajasthan,Ajmer,data.gov.in_daily_prices
Alwar,Rajasthan,Alwar,data.gov.in_daily_prices
Khairthal,Rajasthan,Alwar,data.gov.in_daily_prices
Kherli,Rajasthan,Alwar,data.gov.in_daily_prices
Baran,Rajasthan,Baran,data.gov.in_daily_prices
Balotra,Rajasthan,Barmer,data.gov.in_daily_prices
Barmer,Rajasthan,Barmer,data.gov.in_daily_prices
Bayana,Rajasthan,Bharatpur,data.gov.in_daily_prices
Bharatpur,Rajasthan,Bharatpur,data.gov.in_daily_prices
Deeg,Rajasthan,Bharatpur,data.gov.in_daily_prices
Kama,Rajasthan,Bharatpur,data.gov.in_daily_prices
Kumher,Rajasthan,Bharatpur,data.gov.in_daily_prices
Nadwai,Rajasthan,Bharatpur,data.gov.in_daily_prices
Nagar,Rajasthan,Bharatpur,data.gov.in_daily_prices
Bhilwara,Rajasthan,Bhilwara,data.gov.in_daily_prices
Khajuwala,Rajasthan,Bikaner,data.gov.in_daily_prices
Lunkaransar,Rajasthan,Bikaner,data.gov.in_daily_prices
Sridungargarh,Rajasthan,Bikaner,data.gov.in_daily_prices
Bundi,Rajasthan,Bundi,data.gov.in_daily_prices
Sumerganj,Rajasthan,Bundi,data.gov.in_daily_prices
Churu,Rajasthan,Churu,data.gov.in_daily_prices
Sujangarh,Rajasthan,Churu,data.gov.in_daily_prices
Dausa,Rajasthan,Dausa,data.gov.in_daily_prices
Lalsot,Rajasthan,Dausa,data.gov.in_daily_prices
Mandawari,Rajasthan,Dausa,data.gov.in_daily_prices
Achnera,Uttar Pradesh,Agra,data.gov.in_daily_prices
Fatehabad,Uttar Pradesh,Agra,data.gov.in_daily_prices
Fatehpur Sikri,Uttar Pradesh,Agra,data.gov.in_daily_prices
Jagnair,Uttar Pradesh,Agra,data.gov.in_daily_prices
Khairagarh,Uttar Pradesh,Agra,data.gov.in_daily_prices
Samsabad,Uttar Pradesh,Agra,data.gov.in_daily_prices
Aligarh,Uttar Pradesh,Aligarh,data.gov.in_daily_prices
Auraiya,Uttar Pradesh,Auraiya,data.gov.in_daily_prices
Badayoun,Uttar Pradesh,Badaun,data.gov.in_daily_prices
Bilsi,Uttar Pradesh,Badaun,data.gov.in_daily_prices
Visoli,Uttar Pradesh,Badaun,data.gov.in_daily_prices
Anwala,Uttar Pradesh,Bareilly,data.gov.in_daily_prices
Divai,Uttar Pradesh,Bulandshahar,data.gov.in_daily_prices
Sikarpur,Uttar Pradesh,Bulandshahar,data.gov.in_daily_prices
Aliganj,Uttar Pradesh,Etah,data.gov.in_daily_prices
Etah,Uttar Pradesh,Etah,data.gov.in_daily_prices
Jasvantnagar,Uttar Pradesh,Etawah,data.gov.in_daily_prices
Kishunpur,Uttar Pradesh,Fatehpur,data.gov.in_daily_prices
Firozabad,Uttar Pradesh,Firozabad,data.gov.in_daily_prices
Shikohabad,Uttar Pradesh,Firozabad,data.gov.in_daily_prices
Tundla,Uttar Pradesh,Firozabad,data.gov.in_daily_prices
Haathras,Uttar Pradesh,Hathras,data.gov.in_daily_prices
Muzzafarnagar,Uttar Pradesh,Muzaffarnagar,data.gov.in_daily_prices
Siddhpur,Gujarat,Patan,data.gov.in_daily_prices
Bilaspur,Himachal Pradesh,Bilaspur,data.gov.in_daily_prices
Aluva,Kerala,Ernakulam,data.gov.in_daily_prices
Angamaly,Kerala,Ernakulam,data.gov.in_daily_prices
Perumbavoor,Kerala,Ernakulam,data.gov.in_daily_prices
Sasthamkotta,Kerala,Kollam,data.gov.in_daily_prices
Athirampuzha,Kerala,Kottayam,data.gov.in_daily_prices
Kanjirappally,Kerala,Kottayam,data.gov.in_daily_prices
Pampady,Kerala,Kottayam,data.gov.in_daily_prices
Mukkom,Kerala,Kozhikode(Calicut),data.gov.in_daily_prices
Palayam,Kerala,Kozhikode(Calicut),data.gov.in_daily_prices
Koduvayoor,Kerala,Palakad,data.gov.in_daily_prices
Kollengode,Kerala,Palakad,data.gov.in_daily_prices
Madakasira,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Rayadurg,Andhra Pradesh,Anantapur,data.gov.in_daily_prices
Bobbili,Andhra Pradesh,Vijayanagaram,data.gov.in_daily_prices
Kurupam,Andhra Pradesh,Vijayanagaram,data.gov.in_daily_prices
Parvathipuram,Andhra Pradesh,Vijayanagaram,data.gov.in_daily_prices
Saluru,Andhra Pradesh,Vijayanagaram,data.gov.in_daily_prices
Jalaun,Uttar Pradesh,Jalaun (Orai),data.gov.in_daily_prices
Moth,Uttar Pradesh,Jhansi,data.gov.in_daily_prices
Lalitpur,Uttar Pradesh,Lalitpur,data.gov.in_daily_prices
Gadaura,Uttar Pradesh,Maharajganj,data.gov.in_daily_prices
Charkhari,Uttar Pradesh,Mahoba,data.gov.in_daily_prices
Ghiraur,Uttar Pradesh,Mainpuri,data.gov.in_daily_prices
Vishalpur,Uttar Pradesh,Pillibhit,data.gov.in_daily_prices
Allahabad,Uttar Pradesh,Prayagraj,data.gov.in_daily_prices
Vilaspur,Uttar Pradesh,Rampur,data.gov.in_daily_prices
Gangoh,Uttar Pradesh,Saharanpur,data.gov.in_daily_prices
Jalalabad,Uttar Pradesh,Shahjahanpur,data.gov.in_daily_prices
Payagpur,Uttar Pradesh,Shravasti,data.gov.in_daily_prices
Purwa,Uttar Pradesh,Unnao,data.gov.in_daily_prices
Varanasi,Uttar Pradesh,Varanasi,data.gov.in_daily_prices
Varanasi(F&V),Uttar Pradesh,Varanasi,data.gov.in_daily_prices
Haldwani,Uttrakhand,Nanital,data.gov.in_daily_prices
Sitarganj,Uttrakhand,UdhamSinghNagar,data.gov.in_daily_prices
Bara Bazar (Posta Bazar),West Bengal,Kolkata,data.gov.in_daily_prices
Samsi,West Bengal,Malda,data.gov.in_daily_prices
Midnapore Sadar,West Bengal,Medinipur(W),data.gov.in_daily_prices
Faizabad,Uttar Pradesh,Ayodhya,data.gov.in_daily_prices
Bahedi,Uttar Pradesh,Bareilly,data.gov.in_daily_prices
Bareilly,Uttar Pradesh,Bareilly,data.gov.in_daily_prices
Basti,Uttar Pradesh,Basti,data.gov.in_daily_prices
Nagina,Uttar Pradesh,Bijnor,data.gov.in_daily_prices
Gorakhpur,Uttar Pradesh,Gorakhpur,data.gov.in_daily_prices
Sandila,Uttar Pradesh,Hardoi,data.gov.in_daily_prices
Chintamani,Karnataka,Kolar,data.gov.in_daily_prices
Pandavapura,Karnataka,Mandya,data.gov.in_daily_prices
Sira,Karnataka,Tumkur,data.gov.in_daily_prices
Tumkur,Karnataka,Tumkur,data.gov.in_daily_prices
Kondotty,Kerala,Malappuram,data.gov.in_daily_prices
Kurawar,Madhya Pradesh,Rajgarh,data.gov.in_daily_prices
Ahmednagar,Maharashtra,Ahmednagar,data.gov.in_daily_prices
Kada,Maharashtra,Beed,data.gov.in_daily_prices
Kaij,Maharashtra,Beed,data.gov.in_daily_prices
Chattrapati Sambhajinagar,Maharashtra,Chattrapati Sambhajinagar,data.gov.in_daily_prices
Kalamb (Dharashiv),Maharashtra,Dharashiv(Usmanabad),data.gov.in_daily_prices
Gondiya,Maharashtra,Gondiya,data.gov.in_daily_prices
Ausa,Maharashtra,Latur,data.gov.in_daily_prices
Latur,Maharashtra,Latur,data.gov.in_daily_prices
Udgir,Maharashtra,Latur,data.gov.in_daily_prices
